loosing_hero_id_1,loosing_hero_id_2,loosing_hero_id_3,loosing_hero_id_4,loosing_hero_id_5,winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
3,8,15,21,68,30,39,42,73,87
26,38,46,68,93,11,20,65,83,96
3,15,20,21,41,29,31,72,100,102
11,72,84,93,100,26,34,41,47,102
1,21,28,50,92,12,39,55,87,100
17,26,33,63,98,9,20,47,77,87
20,22,68,93,96,30,43,47,48,85
1,11,20,55,71,39,64,85,87,106
19,33,34,87,91,20,43,47,68,99
14,50,74,95,96,20,41,76,84,101
7,11,30,55,82,17,20,63,72,85
3,13,30,53,77,16,20,71,72,74
6,39,76,100,112,18,38,50,61,88
5,28,30,47,53,9,27,58,69,93
18,28,38,68,98,2,17,30,62,69
9,68,69,76,86,14,50,56,74,96
11,20,78,96,101,2,26,28,46,102
31,54,55,76,92,27,35,68,78,96
1,28,31,39,87,55,62,65,72,111
6,27,38,47,102,22,26,58,67,111
2,10,35,52,86,7,25,83,93,95
13,27,42,65,100,16,47,68,77,96
25,61,68,93,100,3,11,28,99,112
8,71,72,100,112,19,55,60,77,87
7,64,86,106,114,5,9,65,84,93
7,21,60,63,112,17,57,72,86,110
4,17,30,42,71,15,39,51,87,112
4,31,48,51,68,13,40,53,72,73
8,20,47,51,87,16,22,30,39,70
40,68,74,99,102,2,4,11,50,110
42,55,74,83,87,5,63,88,102,106
25,50,72,75,96,11,17,39,62,112
46,48,60,64,65,15,27,51,94,104
9,18,74,90,101,14,27,47,68,88
25,48,51,86,88,38,52,54,79,80
1,13,62,96,111,22,35,53,76,106
19,74,75,78,87,9,41,42,59,69
39,59,70,77,109,7,19,43,61,78
2,9,10,49,79,13,26,47,63,88
3,39,63,73,80,13,48,91,92,99
23,49,64,79,83,15,63,86,88,97
28,49,55,85,94,30,47,64,67,74
7,13,56,66,80,2,45,50,63,85
17,32,55,87,106,5,8,26,43,103
15,29,83,92,106,9,16,43,65,101
8,17,65,84,101,7,41,53,87,97
4,7,21,25,30,11,50,71,72,89
22,26,50,51,72,11,30,38,59,90
4,28,30,54,63,7,37,55,70,93
7,8,39,57,101,13,40,72,84,85
43,49,64,78,85,27,41,99,101,106
7,20,29,47,72,22,30,44,52,85
3,28,54,65,110,8,39,55,71,87
7,25,49,55,106,22,39,71,86,100
29,47,50,56,81,16,39,68,77,88
20,42,84,94,96,1,30,41,47,60
8,26,31,47,99,43,64,77,85,90
27,60,73,98,100,7,36,50,55,59
6,47,85,103,111,29,37,84,93,109
3,9,17,38,67,53,77,89,101,102
1,2,13,30,109,43,54,64,71,88
10,60,64,96,102,8,15,36,75,84
28,54,76,79,84,26,47,81,85,90
1,21,25,39,60,20,47,93,110,112
13,20,42,68,78,6,21,26,31,47
30,41,43,55,60,7,13,53,68,109
8,17,30,51,107,16,52,74,81,114
10,15,43,84,101,33,63,68,92,96
21,50,68,93,100,26,39,72,87,98
2,17,30,55,86,11,26,28,51,68
21,29,57,84,93,1,7,76,90,97
11,16,30,72,99,4,25,55,75,112
27,29,41,76,83,7,15,40,74,78
8,16,41,68,89,17,75,78,91,99
13,27,28,54,88,10,22,25,30,32
15,26,42,51,85,30,47,77,83,96
51,68,75,99,112,22,39,62,69,100
20,23,74,87,96,28,34,68,83,97
18,21,30,97,100,25,55,62,72,87
21,50,55,72,100,17,25,47,56,85
8,31,36,50,63,9,28,46,47,68
2,30,63,68,76,26,47,65,84,93
30,31,70,82,96,28,44,50,66,74
8,33,56,60,112,6,17,20,23,41
8,38,42,53,68,12,39,40,69,86
50,51,54,74,85,2,5,17,47,102
14,42,51,79,106,20,48,87,98,114
9,39,50,83,106,31,63,65,69,87
5,20,21,23,54,15,31,33,73,98
25,28,54,87,88,16,39,95,111,114
8,9,30,31,75,38,40,74,77,101
12,21,25,57,85,11,55,72,89,112
5,57,71,94,95,19,37,65,70,107
76,77,100,107,111,6,29,34,62,91
8,15,16,83,104,20,26,39,80,106
5,51,56,76,102,8,21,40,62,92
10,22,42,43,49,20,50,72,97,101
8,29,73,102,111,1,16,25,41,86
10,13,30,53,86,5,22,91,93,101
7,25,29,50,81,6,26,28,49,79
4,7,23,40,101,26,47,53,63,86
13,28,48,78,79,6,51,60,86,94
7,8,46,60,87,4,30,47,52,71
2,18,26,33,34,28,31,32,54,98
25,33,37,86,99,5,8,9,23,102
5,53,76,96,102,23,54,79,88,103
20,46,69,98,103,10,68,78,86,106
16,34,47,63,92,5,9,21,58,74
20,39,51,89,95,54,62,65,86,102
9,17,79,92,99,3,40,43,63,98
13,15,16,27,74,47,49,68,83,98
17,25,71,72,86,6,7,11,26,39
15,34,37,54,84,3,28,65,70,76
7,55,72,74,86,39,42,57,69,112
11,16,72,89,96,2,30,45,50,102
7,30,39,71,93,21,26,38,52,75
9,16,43,50,74,10,65,69,87,88
2,37,66,68,102,22,25,71,79,80
21,26,53,60,93,7,29,42,74,111
7,41,68,74,96,5,13,86,95,97
17,18,25,55,107,38,43,54,69,111
43,64,65,84,101,20,22,46,103,106
5,20,28,47,51,46,62,66,73,74
26,29,71,72,93,2,20,22,67,83
39,68,81,91,97,38,48,66,77,79
3,9,56,73,103,48,49,62,66,92
8,13,30,54,107,9,21,26,38,55
13,30,51,109,114,5,55,93,104,107
20,44,46,51,68,2,8,31,72,85
16,17,49,68,93,9,47,53,63,73
5,9,15,80,102,13,40,51,56,62
33,46,55,75,96,19,51,68,74,86
20,35,50,94,110,8,16,30,60,99
13,15,50,72,100,29,30,41,52,88
8,41,56,79,103,2,9,14,26,44
22,28,50,108,109,3,38,46,48,62
27,40,45,56,85,16,53,72,88,92
7,47,52,61,87,6,39,85,86,92
20,42,67,74,78,1,29,49,85,101
15,57,85,87,94,10,27,47,51,69
15,31,39,50,69,3,28,72,73,89
2,73,87,94,102,8,29,48,79,84
10,30,44,78,101,1,7,9,25,99
13,48,51,87,102,9,69,73,74,86
5,47,74,80,85,9,31,40,88,98
1,63,86,92,98,15,46,51,83,89
3,9,52,74,96,5,51,54,60,92
1,30,69,74,101,8,9,20,26,95
26,59,78,91,99,29,30,39,95,110
12,16,27,47,78,3,28,48,49,57
4,9,16,42,64,40,63,83,93,96
1,17,20,23,28,8,37,38,54,87
8,38,39,69,86,13,29,30,68,93
21,25,28,71,72,22,31,55,64,67
17,31,54,89,98,48,50,53,69,87
9,79,87,97,98,16,47,65,83,93
9,18,26,40,76,7,25,61,64,109
26,76,87,89,98,15,48,68,88,96
15,50,63,65,85,20,30,34,41,98
34,63,90,92,93,16,48,76,79,84
30,41,43,54,69,14,20,38,47,106
20,28,42,69,88,27,54,65,68,98
7,26,52,61,106,14,27,62,72,75
74,75,88,107,109,8,35,71,86,96
10,46,51,86,88,16,29,34,77,101
2,30,35,75,93,26,39,46,52,85
7,8,34,96,101,46,67,68,78,84
39,53,64,71,98,23,29,47,63,68
2,3,26,57,74,8,13,27,30,99
20,22,45,87,108,8,37,55,79,93
17,27,32,53,92,20,41,47,55,84
20,28,47,74,85,12,22,30,67,71
20,42,65,97,101,2,15,30,46,84
9,73,79,88,99,27,65,66,74,80
27,29,44,47,112,1,26,39,71,86
26,39,50,71,73,7,11,15,68,74
4,7,21,28,79,17,42,51,100,112
50,69,75,85,94,8,28,74,87,100
13,38,72,85,101,17,51,52,60,79
9,16,29,63,79,26,67,74,75,103
7,21,68,93,99,30,35,36,71,91
10,25,26,36,75,22,65,77,88,97
1,3,33,64,89,7,10,13,55,90
7,9,31,45,73,16,48,63,74,92
1,9,15,21,26,50,69,73,82,88
7,17,29,93,101,26,35,42,87,99
5,39,56,84,96,2,14,17,54,75
17,53,54,58,91,46,55,63,88,92
2,20,54,70,103,63,65,73,79,83
7,15,23,40,74,1,37,44,51,97
23,54,65,74,84,33,63,86,88,98
7,9,10,34,92,3,5,22,67,88
29,48,49,84,95,7,40,47,64,106
5,23,46,100,109,8,11,20,51,85
26,49,55,62,93,20,28,51,98,111
5,9,51,62,76,53,58,73,74,103
4,9,27,36,90,1,14,31,51,106
39,50,78,82,107,20,28,34,55,66
43,54,55,87,110,6,20,29,39,92
20,25,48,98,102,9,11,29,41,79
37,43,78,79,92,30,35,42,50,69
93,96,98,107,110,54,55,60,73,87
29,68,69,73,76,15,42,47,83,86
7,27,40,47,74,8,16,69,86,106
3,70,83,98,106,5,8,53,76,84
8,40,69,74,86,9,27,29,45,48
44,50,89,91,96,1,15,57,64,65
20,29,31,43,47,16,40,41,75,86
14,29,41,76,84,28,36,54,90,99
3,20,21,28,72,11,42,68,71,92
26,31,42,50,99,9,16,68,76,96
41,62,74,106,111,20,53,65,80,110
25,46,59,87,95,7,21,55,72,79
9,17,54,65,88,20,34,86,95,97
20,43,86,102,114,5,8,89,98,112
14,20,34,87,104,7,36,37,86,114
